"Step","run_1k_episodes_mstep30 - episode_loss","run_1k_episodes_mstep30 - episode_loss__MIN","run_1k_episodes_mstep30 - episode_loss__MAX"
"159","0.009223110042512417","0.009223110042512417","0.009223110042512417"
"193","0.0051642535254359245","0.0051642535254359245","0.0051642535254359245"
"227","0.008501358330249786","0.008501358330249786","0.008501358330249786"
"261","0.005890634376555681","0.005890634376555681","0.005890634376555681"
"295","0.0047670453786849976","0.0047670453786849976","0.0047670453786849976"
"329","0.0036567142233252525","0.0036567142233252525","0.0036567142233252525"
"363","0.006181830540299416","0.006181830540299416","0.006181830540299416"
"397","0.004560274537652731","0.004560274537652731","0.004560274537652731"
"431","0.004527845070697367","0.004527845070697367","0.004527845070697367"
"465","0.00408830214291811","0.00408830214291811","0.00408830214291811"
"499","0.004454628913663328","0.004454628913663328","0.004454628913663328"
"533","0.0037349658086895943","0.0037349658086895943","0.0037349658086895943"
"567","0.0034385448088869452","0.0034385448088869452","0.0034385448088869452"
"601","0.004010146018117666","0.004010146018117666","0.004010146018117666"
"635","0.003665399504825473","0.003665399504825473","0.003665399504825473"
"669","0.0040182555094361305","0.0040182555094361305","0.0040182555094361305"
"703","0.0026583729777485132","0.0026583729777485132","0.0026583729777485132"
"737","0.002076678443700075","0.002076678443700075","0.002076678443700075"
"771","0.0020752893178723752","0.0020752893178723752","0.0020752893178723752"
"805","0.002488426398485899","0.002488426398485899","0.002488426398485899"
"839","0.0018398238462395966","0.0018398238462395966","0.0018398238462395966"
"873","0.0021392195485532284","0.0021392195485532284","0.0021392195485532284"
"907","0.0016299461713060737","0.0016299461713060737","0.0016299461713060737"
"941","0.0019694562070071697","0.0019694562070071697","0.0019694562070071697"
"975","0.0016089864657260478","0.0016089864657260478","0.0016089864657260478"
"1009","0.0018850911874324083","0.0018850911874324083","0.0018850911874324083"
"1043","0.0017567616305314004","0.0017567616305314004","0.0017567616305314004"
"1077","0.0012372415512800217","0.0012372415512800217","0.0012372415512800217"
"1111","0.001497963210567832","0.001497963210567832","0.001497963210567832"
"1145","0.0017821162473410368","0.0017821162473410368","0.0017821162473410368"
"1179","0.0016488009132444859","0.0016488009132444859","0.0016488009132444859"
"1213","0.0015110592357814312","0.0015110592357814312","0.0015110592357814312"
"1247","0.0011946797312702984","0.0011946797312702984","0.0011946797312702984"
"1281","0.0013570694718509912","0.0013570694718509912","0.0013570694718509912"
"1315","0.0008580565918236971","0.0008580565918236971","0.0008580565918236971"
"1349","0.0015998238231986761","0.0015998238231986761","0.0015998238231986761"
"1383","0.0010228698374703526","0.0010228698374703526","0.0010228698374703526"
"1417","0.001490930444560945","0.001490930444560945","0.001490930444560945"
"1451","0.001325183839071542","0.001325183839071542","0.001325183839071542"
"1485","0.001116241910494864","0.001116241910494864","0.001116241910494864"
"1519","0.0012541134492494166","0.0012541134492494166","0.0012541134492494166"
