"Step","run_1k_episodes_mstep30 - val-reward","run_1k_episodes_mstep30 - val-reward__MIN","run_1k_episodes_mstep30 - val-reward__MAX"
"30","0.41679297205745375","0.41679297205745375","0.41679297205745375"
"62","0.15637211029366335","0.15637211029366335","0.15637211029366335"
"94","0.21149516371689503","0.21149516371689503","0.21149516371689503"
"126","0.3538464741430923","0.3538464741430923","0.3538464741430923"
"160","0.23302142943713744","0.23302142943713744","0.23302142943713744"
"194","0.19965731028663944","0.19965731028663944","0.19965731028663944"
"228","0.24372177579235868","0.24372177579235868","0.24372177579235868"
"262","0.3208850620079232","0.3208850620079232","0.3208850620079232"
"296","0.3326205550527284","0.3326205550527284","0.3326205550527284"
"330","0.30165679780441007","0.30165679780441007","0.30165679780441007"
"364","0.23597257037646133","0.23597257037646133","0.23597257037646133"
"398","0.1405331175278829","0.1405331175278829","0.1405331175278829"
"432","0.3632731769789121","0.3632731769789121","0.3632731769789121"
"466","0.3288206873089403","0.3288206873089403","0.3288206873089403"
"500","0.3101191562729852","0.3101191562729852","0.3101191562729852"
"534","0.2524324909135596","0.2524324909135596","0.2524324909135596"
"568","0.251132180223642","0.251132180223642","0.251132180223642"
"602","0.19039076176048145","0.19039076176048145","0.19039076176048145"
"636","0.22574477894232015","0.22574477894232015","0.22574477894232015"
"670","0.12331366507689373","0.12331366507689373","0.12331366507689373"
"704","0.2412867392666611","0.2412867392666611","0.2412867392666611"
"738","0.22724163347187468","0.22724163347187468","0.22724163347187468"
"772","0.09112127323849754","0.09112127323849754","0.09112127323849754"
"806","0.2552240247560808","0.2552240247560808","0.2552240247560808"
"840","0.2192480929320456","0.2192480929320456","0.2192480929320456"
"874","0.26464043360099937","0.26464043360099937","0.26464043360099937"
"908","0.21920284689254976","0.21920284689254976","0.21920284689254976"
"942","0.37260991100436675","0.37260991100436675","0.37260991100436675"
"976","0.19452410277173302","0.19452410277173302","0.19452410277173302"
"1010","0.2568137458733783","0.2568137458733783","0.2568137458733783"
"1044","0.26812038011791656","0.26812038011791656","0.26812038011791656"
"1078","0.3321567414239705","0.3321567414239705","0.3321567414239705"
"1112","0.25385437139795225","0.25385437139795225","0.25385437139795225"
"1146","0.19775003623078255","0.19775003623078255","0.19775003623078255"
"1180","0.40465659001868676","0.40465659001868676","0.40465659001868676"
"1214","0.20078454914601793","0.20078454914601793","0.20078454914601793"
"1248","0.27573989038352464","0.27573989038352464","0.27573989038352464"
"1282","0.23886442879143077","0.23886442879143077","0.23886442879143077"
"1316","0.21548688526557047","0.21548688526557047","0.21548688526557047"
"1350","0.2404295621650847","0.2404295621650847","0.2404295621650847"
"1384","0.35243234005000096","0.35243234005000096","0.35243234005000096"
"1418","0.28350906440090534","0.28350906440090534","0.28350906440090534"
"1452","0.40082728933404094","0.40082728933404094","0.40082728933404094"
"1486","0.4721179573127207","0.4721179573127207","0.4721179573127207"
"1520","0.27650208003538784","0.27650208003538784","0.27650208003538784"
"1554","0.15626022590213615","0.15626022590213615","0.15626022590213615"
"1588","0.3072808625392129","0.3072808625392129","0.3072808625392129"
"1622","0.20649492112635628","0.20649492112635628","0.20649492112635628"
"1656","0.13413299351444355","0.13413299351444355","0.13413299351444355"
"1690","0.33696639319759275","0.33696639319759275","0.33696639319759275"
"1724","0.2891556988229502","0.2891556988229502","0.2891556988229502"
"1758","0.31152221959048004","0.31152221959048004","0.31152221959048004"
"1792","0.27054659098839057","0.27054659098839057","0.27054659098839057"
"1826","0.16095350742522707","0.16095350742522707","0.16095350742522707"
"1860","0.26220267359919824","0.26220267359919824","0.26220267359919824"
"1894","0.23950717345555264","0.23950717345555264","0.23950717345555264"
"1928","0.20544513605888012","0.20544513605888012","0.20544513605888012"
"1962","0.29633181687426685","0.29633181687426685","0.29633181687426685"
"1996","0.31104106789377484","0.31104106789377484","0.31104106789377484"
"2030","0.17130170464359326","0.17130170464359326","0.17130170464359326"
"2064","0.31891995226662967","0.31891995226662967","0.31891995226662967"
"2098","0.3418250753460768","0.3418250753460768","0.3418250753460768"
"2132","0.3524203613589471","0.3524203613589471","0.3524203613589471"
"2166","0.20708410462584212","0.20708410462584212","0.20708410462584212"
"2200","0.28064098678788413","0.28064098678788413","0.28064098678788413"
"2234","0.21748860810015772","0.21748860810015772","0.21748860810015772"
"2268","0.37060716071993394","0.37060716071993394","0.37060716071993394"
"2302","0.2488571881467283","0.2488571881467283","0.2488571881467283"
"2336","0.34273898623887383","0.34273898623887383","0.34273898623887383"
"2370","0.2190859646326012","0.2190859646326012","0.2190859646326012"
"2404","0.2515794825380658","0.2515794825380658","0.2515794825380658"
"2438","0.27821533268015536","0.27821533268015536","0.27821533268015536"
"2472","0.3681070111703113","0.3681070111703113","0.3681070111703113"
"2506","0.47238582562992254","0.47238582562992254","0.47238582562992254"
"2540","0.3080646125203703","0.3080646125203703","0.3080646125203703"
"2574","0.3203715465468408","0.3203715465468408","0.3203715465468408"
"2608","0.4154404427096885","0.4154404427096885","0.4154404427096885"
"2642","0.2045546219295998","0.2045546219295998","0.2045546219295998"
"2676","0.30346054045621546","0.30346054045621546","0.30346054045621546"
"2710","0.3537417881161454","0.3537417881161454","0.3537417881161454"
"2744","0.4760406387298833","0.4760406387298833","0.4760406387298833"
"2778","0.3057787608120017","0.3057787608120017","0.3057787608120017"
"2812","0.3057641814883399","0.3057641814883399","0.3057641814883399"
"2846","0.3176529458002767","0.3176529458002767","0.3176529458002767"
"2880","0.3148149132455309","0.3148149132455309","0.3148149132455309"
"2914","0.2786945259342634","0.2786945259342634","0.2786945259342634"
"2948","0.4206019492228572","0.4206019492228572","0.4206019492228572"
"2982","0.315404781382009","0.315404781382009","0.315404781382009"
"3016","0.36357000084714386","0.36357000084714386","0.36357000084714386"
"3050","0.4054829521126316","0.4054829521126316","0.4054829521126316"
"3084","0.30588166326825256","0.30588166326825256","0.30588166326825256"
"3118","0.279248203995151","0.279248203995151","0.279248203995151"
"3152","0.35985353733003694","0.35985353733003694","0.35985353733003694"
"3186","0.3650252829454011","0.3650252829454011","0.3650252829454011"
"3220","0.3397110470794884","0.3397110470794884","0.3397110470794884"
"3254","0.292376581537016","0.292376581537016","0.292376581537016"
"3288","0.3154579983264465","0.3154579983264465","0.3154579983264465"
"3322","0.42131126287986204","0.42131126287986204","0.42131126287986204"
"3356","0.3095607685880412","0.3095607685880412","0.3095607685880412"
"3390","0.2536038107793199","0.2536038107793199","0.2536038107793199"
"3424","0.32103682708665526","0.32103682708665526","0.32103682708665526"
"3458","0.31409215307418425","0.31409215307418425","0.31409215307418425"
"3492","0.27816427296241164","0.27816427296241164","0.27816427296241164"
"3526","0.35270159955567365","0.35270159955567365","0.35270159955567365"
"3560","0.34245928112267193","0.34245928112267193","0.34245928112267193"
"3594","0.30613076855509336","0.30613076855509336","0.30613076855509336"
"3628","0.2764690129158051","0.2764690129158051","0.2764690129158051"
"3662","0.15058750533152507","0.15058750533152507","0.15058750533152507"
"3696","0.2543978114139476","0.2543978114139476","0.2543978114139476"
"3730","0.31532961422331207","0.31532961422331207","0.31532961422331207"
"3764","0.2955139395797361","0.2955139395797361","0.2955139395797361"
"3798","0.24878051844416793","0.24878051844416793","0.24878051844416793"
"3832","0.28517927137265175","0.28517927137265175","0.28517927137265175"
"3866","0.3657075778133909","0.3657075778133909","0.3657075778133909"
"3900","0.26396279477916207","0.26396279477916207","0.26396279477916207"
"3934","0.35287912661197063","0.35287912661197063","0.35287912661197063"
"3968","0.21130697417806318","0.21130697417806318","0.21130697417806318"
"4002","0.370443509931673","0.370443509931673","0.370443509931673"
"4036","0.36967697574445646","0.36967697574445646","0.36967697574445646"
"4070","0.28452854545822354","0.28452854545822354","0.28452854545822354"
"4104","0.37178706930298117","0.37178706930298117","0.37178706930298117"
"4138","0.35899881156577823","0.35899881156577823","0.35899881156577823"
"4172","0.2524558621571326","0.2524558621571326","0.2524558621571326"
"4206","0.32128643229375836","0.32128643229375836","0.32128643229375836"
"4240","0.23248959965783608","0.23248959965783608","0.23248959965783608"
"4274","0.34748326297084886","0.34748326297084886","0.34748326297084886"
"4308","0.22765914633912365","0.22765914633912365","0.22765914633912365"
"4342","0.38802284918697844","0.38802284918697844","0.38802284918697844"
"4376","0.34433261698994927","0.34433261698994927","0.34433261698994927"
"4410","0.3687443824506806","0.3687443824506806","0.3687443824506806"
"4444","0.18905093185829178","0.18905093185829178","0.18905093185829178"
"4478","0.30147412747439173","0.30147412747439173","0.30147412747439173"
"4512","0.37474427552390027","0.37474427552390027","0.37474427552390027"
"4546","0.2935428867200124","0.2935428867200124","0.2935428867200124"
"4580","0.24534141211109428","0.24534141211109428","0.24534141211109428"
"4614","0.24463859681159894","0.24463859681159894","0.24463859681159894"
"4648","0.5182009808627156","0.5182009808627156","0.5182009808627156"
"4682","0.34170948278672486","0.34170948278672486","0.34170948278672486"
"4716","0.34768112214495783","0.34768112214495783","0.34768112214495783"
"4750","0.2910171150391301","0.2910171150391301","0.2910171150391301"
"4784","0.23832145768144844","0.23832145768144844","0.23832145768144844"
"4818","0.3949285987647004","0.3949285987647004","0.3949285987647004"
"4852","0.279919393424277","0.279919393424277","0.279919393424277"
"4886","0.4004962438593182","0.4004962438593182","0.4004962438593182"
"4920","0.49885475751558106","0.49885475751558106","0.49885475751558106"
"4954","0.38012206693532874","0.38012206693532874","0.38012206693532874"
"4988","0.2628133351690112","0.2628133351690112","0.2628133351690112"
"5022","0.4490990456094102","0.4490990456094102","0.4490990456094102"
"5056","0.3867463207170929","0.3867463207170929","0.3867463207170929"
"5090","0.4239278483573978","0.4239278483573978","0.4239278483573978"
"5124","0.4368614955865153","0.4368614955865153","0.4368614955865153"
"5158","0.28154758557162074","0.28154758557162074","0.28154758557162074"
